Comprimento solucao aleatoria inicial: 8
Melhorou o comprimento de 8 para 7
Melhorou o comprimento de 7 para 6
Melhorou o comprimento de 6 para 4
local: 8 0 4 2 1 3 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
local: 4 0 4 3 1 2 
